date,place,race,race_name,strategy,bet_type,points,result,payout,note
2026-04-26,Kyoto,2,京都R2,UNION戦略 (機械フロー),3連複4頭流し,6,hit,330,軸 12 グリーンゴー (人気1)
2026-04-26,Tokyo,2,東京R2,UNION戦略 (機械フロー),3連複4頭流し,6,miss,,軸 4 モロノカガヤキ (人気1)
2026-04-26,Tokyo,3,東京R3,UNION戦略 (機械フロー),3連複4頭流し,6,hit,3690,軸 16 アニマレイ (人気1)
2026-04-19,Nakayama,11,皐月賞 (G1),協議型プロトコル v1.0,3連複,26,hit,10420,本命+穴を ML で拾う
2026-04-25,Tokyo,11,青葉賞 (G2),協議型プロトコル v1.0,3連複,22,hit,2280,
2026-04-26,Kyoto,11,マイラーズC (G2),協議型プロトコル v1.0,3連複,26,hit,13860,本命アドマイヤズーム + 穴ドラゴンブースト(ML)
2026-05-02,Kyoto,2,京都R2,UNION戦略 (機械フロー),3連複4頭流し,6,hit,770,軸 #4 メイショウヒタカミ (人気5・穴目)
2026-05-02,Kyoto,3,京都R3,UNION戦略 (機械フロー),3連複4頭流し,6,miss,,軸 #1 セコンドトゥベスト・結果16-1-6 (1着14番人気の大穴で紐抜け)
2026-05-02,Kyoto,5,京都R5,STRONG_AGREE (戦略違反),3連複4頭流し,6,hit,730,軸 #6 ロードスタニング (人気1) ※戦略違反だが手出しして的中
2026-05-02,Tokyo,1,東京R1,UNION戦略 (機械フロー),3連複4頭流し,6,miss,,軸 #1 ミエスタ・結果14-1-10-12 紐抜け
2026-05-02,Tokyo,6,東京R6,UNION戦略 (機械フロー),3連複4頭流し,6,hit,630,軸 #6 ノクターン (人気2)
2026-05-02,Tokyo,12,東京R12,UNION戦略 (機械フロー GBM_重),3連複4頭流し,6,hit,1810,軸 #2 ヘリオトロープ (ダ重で本命候補・期待値最大)
2026-05-02,Tokyo,2,東京R2,協議型プロトコル v1.0,3連単 軸2頭フォーメーション,10,hit,1280,軸 #5⇔#3 紐 #14/#9/#1/#7/#10 (BOTH_STRONG_DISAGREE 案件)
